ida	idb	crca	crcb	pdockq	label	dataset
P39447	Q8VHG2	CRC-002B96F5A998B5CD	CRC-530D84854E943CD4		0	negatome
Q01094	Q06546	CRC-003B3F654F0C60DF	CRC-1AF2ABBBC79191DD		0	negatome
Q01094	Q06547	CRC-003B3F654F0C60DF	CRC-723D63962FB29BD9		0	negatome
Q01094	Q15796	CRC-003B3F654F0C60DF	CRC-95406DB5FC0AA4C9		0	negatome
P25311	P61769	CRC-006A153A8E32A0B1	CRC-AFD2DBEF07DCEF27		0	negatome
Q08877	Q62600	CRC-00B41E41E5425BAD	CRC-52E905C3134E244D		0	negatome
Q01147	Q60972	CRC-00D1F26B00D48442	CRC-B71E2D55A444C360		0	negatome
Q6EMB2	Q92731	CRC-01441AFE6925AEDF	CRC-8CAE34215992418A		0	negatome
Q61881	Q7L590	CRC-019AE8E04BB8EB3C	CRC-DD87191FFF3729D4		0	negatome
P17706	P31946	CRC-0207694A4F058E68	CRC-6BE1A9BF97468017		0	negatome
P84103	Q02040	CRC-02F0A5EE33FF28A0	CRC-639E88ECA8006CF2		0	negatome
P05132	Q9JMB0	CRC-02F85D66EB21A1FA	CRC-9F8BCF183CEE37B8		0	negatome
Q12962	Q6P1X5	CRC-032ED5CA97EBE411	CRC-169DA4A3878CFD59		0	negatome
Q12962	Q16594	CRC-032ED5CA97EBE411	CRC-1925AEC65D6C84C7		0	negatome
Q12962	Q15544	CRC-032ED5CA97EBE411	CRC-77C7BDC667D19A8F		0	negatome
P21246	Q9UM73	CRC-0359C08B6497B579	CRC-0733D6C4FD212F41		0	negatome
P21246	Q16891	CRC-0359C08B6497B579	CRC-357F25DCABB02E50		0	negatome
P21246	Q9H213	CRC-0359C08B6497B579	CRC-408C59F0CCAA6781		0	negatome
P21246	Q9UKY1	CRC-0359C08B6497B579	CRC-66CF1CEC5EF824E5		0	negatome
P21246	Q7L311	CRC-0359C08B6497B579	CRC-7627CBFFE61C329B		0	negatome
P21246	P26641	CRC-0359C08B6497B579	CRC-A6110663110CF3FC		0	negatome
P21246	Q5T3J3	CRC-0359C08B6497B579	CRC-D39A2BB494F16AAA		0	negatome
P21246	P55854	CRC-0359C08B6497B579	CRC-E337E34CB5B3B187		0	negatome
P21246	Q9P2H0	CRC-0359C08B6497B579	CRC-EF181D0177691D00		0	negatome
P21246	Q8NI70	CRC-0359C08B6497B579	CRC-F073C2BA91FE0059		0	negatome
