From	To	crc_hash	source	description
P39447	P39447	CRC-002B96F5A998B5CD	query	sp|P39447|ZO1_MOUSE Tight junction protein ZO-1 OS=Mus musculus OX=10090 GN=Tjp1 PE=1 SV=2
Q01094	Q01094	CRC-003B3F654F0C60DF	query	sp|Q01094|E2F1_HUMAN Transcription factor E2F1 OS=Homo sapiens OX=9606 GN=E2F1 PE=1 SV=1
P0AG86	P0AG86	CRC-00514C5F393A643D	query	sp|P0AG86|SECB_ECOLI Protein-export protein SecB OS=Escherichia coli (strain K12) OX=83333 GN=secB PE=1 SV=1
P25311	P25311	CRC-006A153A8E32A0B1	query	sp|P25311|ZA2G_HUMAN Zinc-alpha-2-glycoprotein OS=Homo sapiens OX=9606 GN=AZGP1 PE=1 SV=2
P25976	P25976	CRC-006A20A7F968DB6A	query	sp|P25976|UBF1_MOUSE Nucleolar transcription factor 1 OS=Mus musculus OX=10090 GN=Ubtf PE=1 SV=1
Q08877	Q08877	CRC-00B41E41E5425BAD	query	sp|Q08877|DYN3_RAT Dynamin-3 OS=Rattus norvegicus OX=10116 GN=Dnm3 PE=1 SV=2
Q96RE7	Q96RE7	CRC-00BEA89D2DC3DAD2	query	sp|Q96RE7|NACC1_HUMAN Nucleus accumbens-associated protein 1 OS=Homo sapiens OX=9606 GN=NACC1 PE=1 SV=1
P36894	P36894	CRC-00CE2DDDA3A44170	query	sp|P36894|BMR1A_HUMAN Bone morphogenetic protein receptor type-1A OS=Homo sapiens OX=9606 GN=BMPR1A PE=1 SV=2
Q01147	Q01147	CRC-00D1F26B00D48442	query	sp|Q01147|CREB1_MOUSE Cyclic AMP-responsive element-binding protein 1 OS=Mus musculus OX=10090 GN=Creb1 PE=1 SV=2
P25445	P25445	CRC-0139942535111410	query	sp|P25445|TNR6_HUMAN Tumor necrosis factor receptor superfamily member 6 OS=Homo sapiens OX=9606 GN=FAS PE=1 SV=1
Q6EMB2	Q6EMB2	CRC-01441AFE6925AEDF	query	sp|Q6EMB2|TTLL5_HUMAN Tubulin polyglutamylase TTLL5 OS=Homo sapiens OX=9606 GN=TTLL5 PE=1 SV=3
Q9Y620	Q9Y620	CRC-0167288FBA95FBC5	query	sp|Q9Y620|RA54B_HUMAN DNA repair and recombination protein RAD54B OS=Homo sapiens OX=9606 GN=RAD54B PE=1 SV=1
Q62106	P05143	CRC-019301BE31D73278	query	sp|P05143|PRP2_MOUSE Proline-rich protein 2 OS=Mus musculus OX=10090 GN=Prp2 PE=2 SV=2
Q61881	Q61881	CRC-019AE8E04BB8EB3C	query	sp|Q61881|MCM7_MOUSE DNA replication licensing factor MCM7 OS=Mus musculus OX=10090 GN=Mcm7 PE=1 SV=1
Q9BUQ8	Q9BUQ8	CRC-01DD5BCF8BFBA2DB	query	sp|Q9BUQ8|DDX23_HUMAN Probable ATP-dependent RNA helicase DDX23 OS=Homo sapiens OX=9606 GN=DDX23 PE=1 SV=3
Q9WVR4	Q9WVR4	CRC-01F6814D4C3B5654	query	sp|Q9WVR4|FXR2_MOUSE RNA-binding protein FXR2 OS=Mus musculus OX=10090 GN=Fxr2 PE=1 SV=1
P17706	P17706	CRC-0207694A4F058E68	query	sp|P17706|PTN2_HUMAN Tyrosine-protein phosphatase non-receptor type 2 OS=Homo sapiens OX=9606 GN=PTPN2 PE=1 SV=2
Q13347	Q13347	CRC-02797BB72A752A96	query	sp|Q13347|EIF3I_HUMAN Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1
P84103	P84103	CRC-02F0A5EE33FF28A0	query	sp|P84103|SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1
