ida	idb	label	index	lena	lenb	chunk	model	ptm	iptm	pdockq	ppv	za	zb	da	db	M0	M0x	cclass
CRC-001576EA78C61C85	CRC-045C9C9CAE0FD639	1	0	230	460	5	4	0.64	0.4300000071525574	0.3387902502155437	0.83367787	6.533675749405571	10.537396439262059	0.591304347826087	0.1826086956521739	0.00088253943	0.003954089	3
CRC-001576EA78C61C85	CRC-12E45FF6696080F8	1	1	230	351	5	2	0.27	0.0799999982118606	0.0447332023345631	0.63555449	6.533675749405571	8.990527378527867	0.591304347826087	0.3076923076923077	0.0008694001	0.003952008	2
CRC-001576EA78C61C85	CRC-2743716544288776	1	2	230	137	5	4	0.42	0.4099999964237213	0.0517107928636452	0.63555449	6.533675749405571	10.56045599053376	0.591304347826087	0.35766423357664234	0.00091596233	0.004021655	2
CRC-001576EA78C61C85	CRC-2EDBC7981868EB12	1	3	230	478	5	5	0.26	0.0900000035762786	0.0	0.0	6.533675749405571	11.606743593096235	0.591304347826087	0.09414225941422594	0.0008787471	0.0039259624	3
CRC-001576EA78C61C85	CRC-40897D5AF9B186A9	1	4	230	723	5	2	0.43	0.1099999994039535	0.0	0.0	6.533675749405571	9.997538670794432	0.591304347826087	0.30428769017980634	0.0011814665	0.003941674	3
CRC-001576EA78C61C85	CRC-A7DDF6DD56D8BDF0	1	5	230	550	5	5	0.27	0.3300000131130218	0.2073726842320364	0.75941223	6.533675749405571	6.224809015447443	0.591304347826087	0.6309090909090909	0.0008769634	0.0039397404	2
CRC-001576EA78C61C85	CRC-C0961E2BE50B24DF	1	6	230	723	5	3	0.6	0.1599999964237213	0.0237346988999285	0.55890174	6.533675749405571	10.833014017318789	0.591304347826087	0.1673582295988935	0.0009006367	0.003929626	2
CRC-001576EA78C61C85	CRC-D8632FFAAA162587	1	8	230	347	5	3	0.25	0.1500000059604644	0.0647887412665431	0.63555449	6.533675749405571	8.25620148848388	0.591304347826087	0.3976945244956772	0.0010734961	0.003965554	2
CRC-001576EA78C61C85	CRC-E2C0D443C1A0DAA5	1	9	230	660	5	4	0.2	0.2800000011920929	0.0566138891588122	0.63555449	6.533675749405571	5.915941134366122	0.591304347826087	0.6818181818181818	0.000864773	0.003931837	3
CRC-0026DBDE1FEAD2B3	CRC-BACDA0BF3A26FD44	1	10	270	176	5	1	0.48	0.3000000119209289	0.2034856721455642	0.75941223	7.736775037977431	10.89039473100142	0.5	0.21022727272727273	0.00087902637	0.0049637877	2
CRC-00BEA89D2DC3DAD2	CRC-AA13116AC5C0D69A	1	12	527	317	5	3	0.54	0.7699999809265137	0.3274713527151897	0.83367787	7.74465380674069	12.287796357452681	0.4497153700189753	0.10410094637223975	0.00085687084	0.003935751	1
CRC-013BD759EFDB4331	CRC-12BE86728D54F794	1	13	575	329	5	3	0.44	0.3700000047683716	0.1321545211520742	0.70615739	9.888988196331521	8.537895225826368	0.25043478260869567	0.42857142857142855	0.00087097177	0.0039992407	1
CRC-023DDBAC66E1912B	CRC-B0CCF1AE76CDA6D2	1	16	142	194	5	1	0.42	0.5199999809265137	0.4112905618603888	0.87116417	8.589881144778829	7.852588771544781	0.2676056338028169	0.4484536082474227	0.011521446	0.97141683	2
